8.000000e+00,0.000000e+00,8.245633e-05,6.923566e-05,4.748700e-05,3.748784e-06,1.434584e-04,1.291767e-06,7.730227e-05,6.187371e-05,5.637485e-05,4.872827e-05,1.987887e-04,1.753243e-03,6.296599e-05,5.804435e-04,6.821313e-04,1.538942e-03,1.751057e-03,3.620145e-04,9.305931e-04,4.547851e-04,4.201968e-04,3.763976e-03,5.913844e-04,1.394016e-04,8.836287e-06,0.000000e+00 (1),0.000000e+00 (3),0.000000e+00 (4),0.000000e+00 (5),0.000000e+00 (6),0.000000e+00 (7),0.000000e+00 (8),0.000000e+00 (9),0.000000e+00 (10),0.000000e+00 (11),0.000000e+00 (12),0.000000e+00 (13),0.000000e+00 (14),0.000000e+00 (15),0.000000e+00 (16),0.000000e+00 (17),0.000000e+00 (18),0.000000e+00 (19),0.000000e+00 (20),0.000000e+00 (21),0.000000e+00 (22),0.000000e+00 (23),0.000000e+00 (24),0.000000e+00 (25),0.000000e+00 (26),0.000000e+00 (27),0.000000e+00 (28),0.000000e+00 (29),0.000000e+00 (30),0.000000e+00 (31),0.000000e+00 (32),0.000000e+00 (33),0.000000e+00 (34),0.000000e+00 (35),0.000000e+00 (36),0.000000e+00 (37),0.000000e+00 (38),0.000000e+00 (39),0.000000e+00 (40),0.000000e+00 (41),0.000000e+00 (42),0.000000e+00 (43),0.000000e+00 (44),0.000000e+00 (45),0.000000e+00 (46),0.000000e+00 (47),0.000000e+00 (48),0.000000e+00 (49),0.000000e+00 (50),0.000000e+00 (51),0.000000e+00 (52),0.000000e+00 (53),0.000000e+00 (54),0.000000e+00 (55),0.000000e+00 (56),0.000000e+00 (57),0.000000e+00 (58),0.000000e+00 (59),0.000000e+00 (60),0.000000e+00 (61),0.000000e+00 (62),0.000000e+00 (63),0.000000e+00 (64),0.000000e+00 (66),0.000000e+00 (67),0.000000e+00 (68),0.000000e+00 (69),0.000000e+00 (70),0.000000e+00 (71),0.000000e+00 (72),0.000000e+00 (73),0.000000e+00 (74),0.000000e+00 (75),0.000000e+00 (76),0.000000e+00 (77),0.000000e+00 (78),0.000000e+00 (79),0.000000e+00 (80),0.000000e+00 (81),0.000000e+00 (82),0.000000e+00 (83),0.000000e+00 (84),0.000000e+00 (85),0.000000e+00 (86),0.000000e+00 (87),0.000000e+00 (88),0.000000e+00 (89),3.714286e-01,3.689320e-01,2.857143e-01,5.301205e-01,3.500000e-01,0.000000e+00 (90),0.000000e+00 (91),0.000000e+00 (92),0.000000e+00 (93),0.000000e+00 (94),0.000000e+00 (95),0.000000e+00 (96),0.000000e+00 (97),0.000000e+00 (98),0.000000e+00 (99),0.000000e+00 (100),0.000000e+00 (101),0.000000e+00 (102),0.000000e+00 (103),Partition,$XS1-8.000000e+00,$XSC1-8.000000e+00
6.000,0.655,0.359,0.157,0.012,0.016,0.151,0.144,0.018,0.158,0.070,0.068,0.003,0.012,0.004,0.028,0.060,0.023,0.150,0.207,0.017,0.048,0.011,0.103,0.008,0.129,0.250,0.030,0.014,0.062,0.313,0.140,0.169,0.095,0.007,0.025,0.119,0.026,0.073,0.088,0.008,0.003,0.011,0.312,0.277,0.066,0.213,0.121,0.033,0.123,0.011,0.208,0.043,0.107,0.167,0.074,0.078,0.879,0.197,0.009,0.249,0.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.553,0.522,0.620,0.436,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2_Testing,6.000,0.852
10.000,0.001,0.018,0.024,0.002,0.000,0.005,0.006,0.003,0.004,0.002,0.012,0.003,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.165,0.230,0.301,0.207,0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2_Testing,10.000,0.738
7.000,0.001,0.042,0.060,0.010,0.002,0.028,0.038,0.056,0.011,0.000,0.082,0.050,0.004,0.011,0.008,0.029,0.049,0.008,0.006,0.023,0.028,0.059,0.112,0.051,0.043,0.022,0.009,0.018,0.110,0.275,0.128,0.078,0.156,0.087,0.018,0.006,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.529,0.563,0.441,0.614,0.393,0.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2_Testing,7.000,0.649
6.000,0.724,0.042,0.117,0.193,0.175,0.283,0.186,0.051,0.150,0.083,0.091,0.003,0.027,0.216,0.133,0.059,0.007,0.078,0.077,0.021,0.111,0.016,0.422,0.028,0.172,0.243,0.041,0.055,0.344,0.013,0.539,0.073,0.525,0.053,0.182,0.166,0.246,0.308,0.147,0.628,0.100,0.216,0.171,0.123,0.444,0.122,0.194,0.062,0.549,0.013,1.000,0.049,0.710,0.145,0.156,0.111,0.350,0.166,0.008,0.282,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.771,0.816,0.665,0.825,0.529,0.414,0.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,6.000,0.855
6.000,0.153,0.110,0.594,0.057,0.084,0.002,0.122,0.030,0.078,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.329,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,6.000,0.762
6.000,0.211,0.352,0.338,0.243,0.165,0.742,0.217,0.223,0.331,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,6.000,0.652
6.000,0.491,0.361,0.040,0.048,0.021,0.380,0.021,0.195,0.036,0.265,0.277,0.007,0.096,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.272,0.242,0.295,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,6.000,0.721
2.000,0.005,0.057,0.159,0.045,0.026,0.118,0.030,0.036,0.060,0.061,0.009,0.045,0.115,0.335,0.040,0.127,0.192,0.273,0.397,0.188,0.244,0.058,0.125,0.086,0.205,0.043,0.097,0.099,0.206,0.268,0.279,0.012,0.186,0.282,0.007,0.096,0.477,0.009,0.192,0.316,0.076,0.454,0.065,0.452,1.000,0.286,0.683,1.000,0.836,0.493,0.295,0.175,0.186,0.006,0.284,0.372,0.281,0.051,0.051,0.137,0.654,0.314,0.102,0.017,0.006,0.100,0.358,0.355,0.597,0.142,0.178,0.013,0.140,1.000,0.130,0.651,0.115,1.000,0.544,0.181,0.126,0.280,0.423,0.135,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.471,0.388,0.317,0.458,0.364,0.284,0.627,0.677,0.713,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,2.000,0.944
2.000,0.006,0.005,0.019,0.009,0.009,0.064,0.010,0.013,0.032,0.014,0.047,0.039,0.132,0.135,0.046,0.156,0.195,0.126,0.262,0.125,0.131,0.028,0.071,0.055,0.018,0.023,0.031,0.129,0.200,0.343,0.472,0.367,0.513,0.882,0.553,0.122,0.384,0.023,0.133,0.034,0.067,0.180,0.228,0.567,0.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.563,0.540,0.620,0.393,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2_Testing,2.000,0.691
2.000,0.002,0.005,0.025,0.009,0.004,0.011,0.007,0.024,0.027,0.009,0.172,0.119,0.122,0.073,0.050,0.190,0.001,0.013,0.038,0.008,0.015,0.187,0.141,0.033,0.031,0.416,0.014,0.062,0.298,1.000,0.802,0.211,0.913,1.000,0.047,0.376,0.096,0.003,0.074,0.075,0.437,0.291,0.340,0.375,0.021,0.125,1.000,0.440,0.492,0.178,0.597,0.003,0.307,0.535,0.043,0.111,0.280,0.100,0.024,1.000,0.502,0.324,1.000,0.004,0.382,0.591,0.249,0.410,0.409,0.019,0.418,0.172,0.073,0.879,0.124,0.675,0.219,0.398,0.585,1.000,0.817,0.106,0.993,0.064,0.345,0.242,0.444,0.195,0.142,0.046,0.103,0.771,0.025,0.490,0.725,0.048,0.167,0.036,0.071,0.234,0.165,0.529,0.600,0.747,0.477,0.795,0.275,0.202,1.000,0.174,1.000,1.000,0.186,0.414,0.592,0.596,0.651,0.436,0.365,0.660,0.813,0.784,0.634,0.700,0.689,0.736,0.760,0.809,0.772,0.773,0.753,461.000,1_Training,2.000,0.921
9.000,0.005,0.023,0.017,0.010,0.017,0.042,0.009,0.013,0.007,0.028,0.032,0.126,0.009,0.080,0.219,0.036,0.078,0.410,0.083,0.072,0.250,0.070,0.068,0.182,0.044,0.077,0.191,0.113,0.325,0.085,0.260,0.445,0.134,0.225,0.132,0.084,0.405,0.041,0.043,0.334,0.094,0.018,0.495,0.129,0.070,0.139,0.076,0.087,0.502,0.070,0.417,0.372,0.052,0.161,0.466,0.106,0.354,0.146,0.026,0.191,0.122,0.027,0.289,0.103,0.014,0.305,0.041,0.005,0.322,0.052,0.149,0.398,0.053,0.102,0.193,0.137,0.183,0.382,0.067,0.081,0.187,0.021,0.097,0.186,0.040,0.235,0.453,0.002,0.075,0.120,0.182,0.097,0.013,0.268,0.074,0.008,0.139,0.010,0.019,0.253,0.044,0.043,0.178,0.025,0.281,1.000,0.096,0.526,0.047,0.042,0.200,0.199,0.309,0.357,0.476,0.497,0.506,0.343,0.292,0.516,0.554,0.563,0.418,0.476,0.494,0.508,0.513,0.540,0.517,0.534,0.505,304.000,1_Training,9.000,0.791
10.000,0.000,0.001,0.000,0.002,0.000,0.002,0.000,0.006,0.001,0.001,0.004,0.000,0.003,0.007,0.001,0.009,0.015,0.009,0.011,0.023,0.006,0.011,0.005,0.006,0.012,0.002,0.012,0.003,0.007,0.021,0.016,0.026,0.024,0.001,0.030,0.034,0.042,0.011,0.007,0.018,0.008,0.044,0.013,0.001,0.023,0.007,0.017,0.003,0.003,0.014,0.026,0.010,0.022,0.012,0.039,0.020,0.026,0.038,0.002,0.014,0.003,0.027,0.026,0.025,0.051,0.022,0.004,0.029,0.119,0.023,0.001,0.006,0.015,0.078,0.017,0.019,0.002,0.104,0.027,0.039,0.075,0.082,0.110,0.092,0.076,0.005,0.018,0.055,0.046,0.384,0.279,0.040,0.005,0.035,0.102,0.046,0.008,0.070,0.006,0.003,0.027,0.002,0.005,0.107,0.116,0.090,0.005,0.066,0.080,0.094,0.048,0.010,0.042,0.314,0.456,0.528,0.771,0.557,0.438,0.754,0.936,0.933,0.665,0.799,0.841,0.867,0.852,0.882,0.838,0.000,0.000,0.000,1_Training,10.000,0.746
7.000,0.000,0.007,0.005,0.001,0.004,0.029,0.023,0.014,0.010,0.007,0.016,0.055,0.036,0.037,0.002,0.082,0.091,0.032,0.005,0.006,0.016,0.068,0.094,0.032,0.015,0.041,0.046,0.074,0.131,0.253,0.078,0.009,0.089,0.110,0.069,0.069,0.067,0.019,0.022,0.048,0.084,0.100,0.108,0.044,0.031,0.001,0.020,0.096,0.290,0.157,0.212,0.017,0.002,0.001,0.025,0.043,0.122,0.007,0.013,0.095,0.131,0.034,0.053,0.081,0.077,0.007,0.005,0.082,0.032,0.024,0.043,0.013,0.003,0.088,0.123,0.117,0.039,0.021,0.133,0.087,0.086,0.001,0.036,0.019,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.301,0.261,0.392,0.282,0.224,0.434,0.486,0.522,0.410,0.453,0.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,7.000,0.766
7.000,0.002,0.010,0.016,0.002,0.000,0.014,0.020,0.003,0.015,0.009,0.025,0.006,0.004,0.025,0.001,0.003,0.005,0.077,0.061,0.050,0.006,0.005,0.097,0.025,0.037,0.011,0.019,0.083,0.018,0.050,0.078,0.115,0.198,0.019,0.044,0.075,0.176,0.090,0.002,0.038,0.095,0.041,0.122,0.025,0.018,0.075,0.028,0.049,0.057,0.016,0.253,0.060,0.061,0.029,0.039,0.138,0.052,0.026,0.037,0.008,0.176,0.021,0.020,0.035,0.014,0.067,0.037,0.025,0.084,0.063,0.118,0.064,0.003,0.172,0.022,0.057,0.088,0.002,0.055,0.029,0.009,0.055,0.032,0.005,0.065,0.003,0.094,0.081,0.027,0.035,0.183,0.079,0.003,0.024,0.031,0.037,0.041,0.024,0.055,0.050,0.001,0.076,0.015,0.129,0.171,0.028,0.029,0.097,0.033,0.203,0.006,0.038,0.419,0.086,0.553,0.534,0.572,0.404,0.424,0.762,0.761,0.821,0.588,0.656,0.641,0.657,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,7.000,0.777
7.000,0.001,0.004,0.005,0.002,0.002,0.006,0.003,0.005,0.007,0.003,0.013,0.012,0.010,0.019,0.018,0.012,0.028,0.028,0.040,0.024,0.013,0.026,0.032,0.015,0.016,0.048,0.020,0.050,0.035,0.130,0.071,0.085,0.138,0.069,0.048,0.074,0.098,0.037,0.042,0.054,0.030,0.041,0.042,0.043,0.053,0.019,0.030,0.033,0.073,0.035,0.087,0.035,0.032,0.052,0.053,0.036,0.074,0.017,0.018,0.038,0.042,0.025,0.033,0.022,0.040,0.033,0.021,0.075,0.056,0.050,0.038,0.029,0.019,0.027,0.015,0.014,0.016,0.010,0.011,0.005,0.015,0.019,0.010,0.010,0.008,0.015,0.024,0.029,0.023,0.060,0.056,0.052,0.015,0.015,0.024,0.030,0.015,0.038,0.026,0.016,0.019,0.024,0.013,0.064,0.036,0.022,0.014,0.022,0.000,0.000,0.000,0.000,0.000,0.314,0.427,0.540,0.681,0.429,0.414,0.758,0.821,0.847,0.595,0.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,7.000,0.732
7.000,0.007,0.018,0.037,0.015,0.016,0.008,0.005,0.013,0.011,0.002,0.005,0.019,0.037,0.091,0.051,0.041,0.047,0.102,0.251,0.119,0.046,0.042,0.078,0.074,0.113,0.124,0.037,0.159,0.232,0.412,0.119,0.107,0.244,0.258,0.135,0.134,0.082,0.049,0.103,0.144,0.074,0.026,0.016,0.063,0.148,0.044,0.036,0.007,0.005,0.032,0.126,0.062,0.031,0.010,0.005,0.019,0.064,0.013,0.013,0.043,0.051,0.016,0.001,0.019,0.136,0.219,0.104,0.298,0.166,0.306,0.633,0.439,0.357,0.258,0.188,0.390,0.643,0.675,0.281,0.093,0.383,0.481,0.576,0.235,0.113,0.203,0.866,0.659,0.405,0.223,0.818,1.000,0.200,0.103,0.008,0.090,0.155,0.230,0.089,0.002,0.030,0.091,0.099,0.164,0.009,0.034,0.063,0.193,0.092,0.085,0.002,0.030,0.319,0.200,0.311,0.404,0.452,0.314,0.281,0.516,0.578,0.716,0.531,0.547,0.603,0.747,0.793,0.826,0.798,0.803,0.770,439.000,1_Training,7.000,0.790
7.000,0.008,0.035,0.047,0.011,0.012,0.030,0.025,0.030,0.040,0.023,0.014,0.008,0.008,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.214,0.186,0.259,0.239,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,7.000,0.760
7.000,0.001,0.003,0.009,0.003,0.003,0.004,0.004,0.004,0.001,0.002,0.007,0.006,0.010,0.015,0.014,0.004,0.015,0.016,0.002,0.009,0.006,0.019,0.009,0.013,0.029,0.024,0.011,0.006,0.016,0.003,0.024,0.029,0.042,0.047,0.012,0.037,0.073,0.007,0.014,0.009,0.004,0.006,0.006,0.035,0.031,0.012,0.028,0.015,0.063,0.049,0.025,0.005,0.002,0.024,0.019,0.006,0.072,0.014,0.024,0.077,0.033,0.027,0.013,0.004,0.010,0.010,0.017,0.061,0.051,0.120,0.098,0.039,0.030,0.012,0.015,0.001,0.030,0.028,0.016,0.026,0.039,0.049,0.055,0.005,0.012,0.003,0.017,0.005,0.013,0.032,0.091,0.117,0.008,0.026,0.017,0.002,0.001,0.008,0.021,0.002,0.024,0.060,0.036,0.180,0.065,0.026,0.018,0.003,0.007,0.011,0.008,0.042,0.160,0.129,0.359,0.379,0.404,0.286,0.260,0.467,0.506,0.549,0.389,0.415,0.411,0.471,0.483,0.505,0.556,0.586,0.000,0.000,2_Testing,7.000,0.926
2.000,0.017,0.074,0.408,0.019,0.004,0.405,0.224,0.158,0.384,0.063,0.145,0.187,0.087,0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.359,0.329,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,2.000,0.767
2.000,0.013,0.004,0.020,0.002,0.000,0.001,0.002,0.006,0.019,0.007,0.024,0.041,0.022,0.008,0.095,0.007,0.052,0.100,0.027,0.011,0.004,0.033,0.026,0.031,0.053,0.136,0.094,0.226,0.255,0.933,0.724,0.397,0.896,0.633,0.210,0.392,0.327,0.059,0.141,0.074,0.022,0.043,0.018,0.027,0.164,0.009,0.120,0.163,0.161,0.184,0.521,0.141,0.113,0.177,0.360,0.093,0.177,0.084,0.034,0.192,0.046,0.072,0.001,0.006,0.033,0.072,0.034,0.432,0.527,0.176,1.000,0.708,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.641,0.466,0.886,0.679,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,2.000,0.888
2.000,0.016,0.002,0.001,0.000,0.002,0.019,0.020,0.021,0.054,0.011,0.039,0.063,0.075,0.177,0.009,0.028,0.043,0.007,0.101,0.096,0.084,0.151,0.273,0.157,0.109,0.154,0.153,0.218,0.157,0.106,0.217,0.084,0.005,0.098,0.011,0.027,0.338,0.092,0.119,0.319,0.152,0.234,0.179,0.143,0.504,0.133,0.145,0.046,0.251,0.090,0.015,0.036,0.037,0.100,0.216,0.057,0.455,0.224,0.133,0.157,0.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.320,0.255,0.319,0.282,0.240,0.426,0.478,0.493,0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,2.000,0.918
10.000,0.000,0.014,0.041,0.010,0.000,0.028,0.007,0.033,0.016,0.001,0.005,0.010,0.021,0.006,0.020,0.025,0.097,0.002,0.180,0.030,0.006,0.145,0.036,0.061,0.005,0.025,0.000,0.084,0.052,0.004,0.102,0.027,0.163,0.093,0.032,0.099,0.300,0.047,0.066,0.109,0.020,0.156,0.077,0.066,0.051,0.060,0.041,0.101,0.333,0.053,0.002,0.017,0.008,0.175,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.757,0.627,0.705,0.439,0.359,0.611,0.665,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1_Training,10.000,0.667
2.000,0.009,0.018,0.041,0.011,0.022,0.044,0.104,0.023,0.024,0.016,0.065,0.038,0.089,0.058,0.161,0.237,0.041,0.241,0.137,0.152,0.016,0.298,0.267,0.099,0.475,0.429,0.118,0.185,0.179,0.930,0.125,0.044,0.237,0.570,0.031,0.030,0.041,0.257,0.499,0.569,1.000,0.377,0.101,1.000,0.402,0.012,0.260,0.344,0.958,0.002,0.433,0.020,0.084,0.380,0.689,0.571,0.223,1.000,1.000,0.476,0.920,0.068,0.223,0.085,1.000,1.000,0.047,0.189,0.036,0.876,0.855,0.687,1.000,0.651,0.845,0.765,0.078,0.418,0.263,0.097,0.336,0.019,0.114,0.200,0.217,0.084,0.170,0.753,0.543,0.718,0.334,0.636,0.260,0.219,1.000,0.583,0.774,1.000,0.001,0.101,0.154,0.205,0.538,0.180,0.528,0.513,0.034,0.255,0.685,0.530,0.077,0.401,0.854,0.243,0.243,0.230,0.428,0.286,0.266,0.434,0.562,0.582,0.418,0.491,0.475,0.501,0.528,0.531,0.000,0.000,0.000,0.000,2_Testing,2.000,0.900
